fightID,timestamp,sourceID,sourceName,targetID,targetName,abilityGUID,abilityName,amount
1,6880265,52,,57,,,,3418
1,6880531,50,,57,,,,11706
1,6880888,53,,57,,,,11038
1,6880888,55,,57,,,,3439
1,6880981,52,,57,,,,3418
1,6881245,50,,57,,,,13759
1,6881290,48,,57,,,,3345
1,6881290,48,,57,,,,2314
1,6881559,56,,57,,,,11341
1,6881559,56,,57,,,,2581
1,6881604,55,,57,,,,3439
1,6881604,54,,57,,,,9574
1,6881604,54,,57,,,,2083
1,6881693,53,,57,,,,11038
1,6881826,50,,57,,,,11706
1,6881959,48,,57,,,,4160
1,6882048,48,,57,,,,2314
1,6882048,50,,57,,,,2278
1,6882048,50,,57,,,,27
1,6882092,56,,57,,,,2581
1,6882136,54,,57,,,,2083
1,6882314,52,,57,,,,2329
1,6882404,54,,57,,,,9574
1,6882581,48,,57,,,,3345
1,6882581,50,,57,,,,27
1,6882850,56,,57,,,,11341
1,6882850,52,,57,,,,2329
1,6882850,52,,57,,,,7056
1,6882939,55,,57,,,,1878
1,6882983,50,,57,,,,13759
1,6883342,50,,57,,,,2278
1,6883387,52,,57,,,,7056
1,6883387,55,,57,,,,4529
1,6883474,55,,57,,,,1878
1,6883518,56,,57,,,,21600
1,6883563,48,,57,,,,4160
1,6883608,56,,57,,,,2681
1,6883742,48,,57,,,,8142
1,6883787,53,,57,,,,150
1,6884009,52,,57,,,,1190
1,6884055,49,,57,,,,20873
1,6884143,56,,57,,,,2681
1,6884277,55,,57,,,,4529
1,6884321,53,,57,,,,150
1,6884366,48,,57,,,,2265
1,6884545,52,,57,,,,1190
1,6884634,56,,57,,,,21600
1,6884856,49,,57,,,,20873
1,6884856,54,,57,,,,8389
1,6885035,48,,57,,,,8142
1,6885035,49,,57,,,,13261
1,6885079,54,,57,,,,2631
1,6885124,48,,57,,,,2265
1,6885168,50,,57,,,,18105
1,6885391,52,,57,,,,6897
1,6885437,58,,57,,,,7083
1,6885437,48,,57,,,,947
1,6885437,53,,57,,,,2845
1,6885437,50,,57,,,,2526
1,6885437,48,,57,,,,765
1,6885437,56,,57,,,,13719
1,6885481,54,,57,,,,8389
1,6885525,50,,57,,,,27
1,6885615,54,,57,,,,2631
1,6885660,56,,57,,,,3921
1,6885705,53,,57,,,,10782
1,6885705,52,,57,,,,3574
1,6885749,55,,57,,,,2199
1,6885793,49,,57,,,,13261
1,6885837,49,,57,,,,61
1,6885882,55,,57,,,,66649
1,6885882,49,,57,,,,33635
1,6886016,52,,57,,,,6897
1,6886060,50,,57,,,,27
1,6886195,56,,57,,,,3921
1,6886240,52,,57,,,,3574
1,6886240,48,,57,,,,11118
1,6886284,55,,57,,,,2199
1,6886374,49,,57,,,,61
1,6886463,50,,57,,,,18105
1,6886508,53,,57,,,,10782
1,6886508,55,,57,,,,24948
1,6886553,49,,57,,,,17982
1,6886598,55,,57,,,,66649
1,6886598,54,,57,,,,16231
1,6886732,56,,57,,,,13719
1,6887044,49,,57,,,,33635
1,6887044,52,,57,,,,1614
1,6887133,55,,57,,,,24948
1,6887133,55,,57,,,,4102
1,6887133,50,,57,,,,12549
1,6887267,54,,57,,,,34381
1,6887356,54,,57,,,,16231
1,6887402,56,,57,,,,30692
1,6887446,48,,57,,,,2283
1,6887580,52,,57,,,,1614
1,6887713,49,,57,,,,17982
1,6887713,48,,57,,,,11118
1,6887713,56,,57,,,,5299
1,6887758,55,,57,,,,4102
1,6887758,54,,57,,,,3598
1,6887847,49,,57,,,,28684
1,6887892,52,,57,,,,12850
1,6887936,54,,57,,,,34381
1,6888159,53,,57,,,,22379
1,6888159,56,,57,,,,16858
1,6888204,48,,57,,,,2283
1,6888249,56,,57,,,,5299
1,6888293,54,,57,,,,3598
1,6888383,55,,57,,,,10893
1,6888428,50,,57,,,,12549
1,6888428,58,,57,,,,10513
1,6888428,48,,57,,,,928
1,6888428,53,,57,,,,2786
1,6888428,50,,57,,,,2474
1,6888428,48,,57,,,,749
1,6888428,54,,57,,,,1739
1,6888428,55,,57,,,,1837
1,6888428,52,,57,,,,17304
1,6888517,56,,57,,,,30692
1,6888562,55,,57,,,,2405
1,6888606,49,,57,,,,28684
1,6888741,53,,57,,,,6426
1,6888741,48,,57,,,,17131
1,6888874,53,,57,,,,158
1,6888963,53,,57,,,,22379
1,6889008,55,,57,,,,10893
1,6889052,52,,57,,,,17304
